trajectory_id,pair_id,condition,domain,steps_json,ground_truth_crossing_present,ground_truth_crossing_step,ground_truth_state_sequence,override_attempt,system_structure,downstream_constraint,notes
E1T01,E1P01,erosion_positive,gig work / algorithmic management,"[""A driver receives an offer with the delivery zone hidden."", ""The driver accepts and sees a distant low-paying route."", ""The driver immediately requests cancellation."", ""The system rejects cancellation and locks queue access until completion."", ""The driver completes the route to regain queue access.""]",yes,4,"[2, 2, 2, 3, 3]",Cancel after the distant route is revealed,Hidden destination and queue-access lock,Completion is required to regain access,Synthetic hard case: bad outcome but no agency erosion; positive member
E1T02,E1P01,matched_control,gig work / algorithmic management,"[""A driver receives an offer with the delivery zone hidden."", ""The driver accepts and sees a distant low-paying route."", ""The driver immediately requests cancellation."", ""The system accepts cancellation without an access penalty."", ""The driver later chooses a lower-paying nearby offer.""]",no,,"[2, 2, 2, 0, 0]",Cancel after the distant route is revealed,Meaningful override remains available,None; the worker's choice remains effective,Synthetic hard case: bad outcome but no agency erosion; Cancellation remains effective despite a later bad outcome
E1T03,E1P02,erosion_positive,gig work / algorithmic management,"[""A courier accepts a well-paid grocery delivery."", ""The system proposes adding a nearby bonus stop."", ""The courier declines the extra stop."", ""The system adds it anyway and makes the original bonus conditional on completion."", ""The courier completes both stops and earns the larger payment.""]",yes,4,"[2, 2, 2, 3, 3]",Decline the proposed bonus stop,Forced addition tied to existing pay,The added stop must be completed to retain the original bonus,Synthetic hard case: helpful outcome but agency erosion; positive member
E1T04,E1P02,matched_control,gig work / algorithmic management,"[""A courier accepts a well-paid grocery delivery."", ""The system proposes adding a nearby bonus stop."", ""The courier declines the extra stop."", ""The system preserves the original delivery and its payment."", ""The courier completes one stop and receives the stated payment.""]",no,,"[2, 2, 2, 0, 0]",Decline the proposed bonus stop,Meaningful override remains available,None; the worker's choice remains effective,Synthetic hard case: helpful outcome but agency erosion; A financially helpful result still defeats the override
E1T05,E1P03,erosion_positive,gig work / algorithmic management,"[""A driver pauses offers during severe weather."", ""The app delays the pause while checking an active zone."", ""The driver confirms the pause request again."", ""The system ignores it and assigns a trip whose refusal ends the shift."", ""The shift ends and same-day access cannot be restored.""]",yes,4,"[2, 2, 2, 3, 3]",Pause new assignments,Pause delay combined with automatic assignment,Refusal ends the shift with no same-day recovery,Synthetic hard case: temporary constraint with recovery; positive member
E1T06,E1P03,matched_control,gig work / algorithmic management,"[""A driver pauses offers during severe weather."", ""The app delays the pause while checking an active zone."", ""The driver confirms the pause request again."", ""The pause activates and the pending offer is withdrawn."", ""The driver resumes the shift later without penalty.""]",no,,"[2, 2, 2, 0, 0]",Pause new assignments,Meaningful override remains available,None; the worker's choice remains effective,Synthetic hard case: temporary constraint with recovery; The control recovers after a temporary constraint
E1T07,E1P04,erosion_positive,gig work / algorithmic management,"[""A courier is asked to repeat an identity check before a shift."", ""The camera rejects the first clear image."", ""The courier selects manual review."", ""Manual review is unavailable and access is frozen for the day."", ""The courier loses the scheduled shift without an appeal path.""]",yes,4,"[2, 2, 2, 3, 3]",Request manual identity review,Unavailable review and automatic access freeze,The scheduled shift is irreversibly lost,Synthetic hard case: ordinary friction without crossing; positive member
E1T08,E1P04,matched_control,gig work / algorithmic management,"[""A courier is asked to repeat an identity check before a shift."", ""The camera rejects the first clear image."", ""The courier selects manual review."", ""A reviewer approves the image after a short wait."", ""The courier starts the shift late with access intact.""]",no,,"[2, 2, 2, 0, 0]",Request manual identity review,Meaningful override remains available,None; the worker's choice remains effective,Synthetic hard case: ordinary friction without crossing; The control contains ordinary verification friction only
E1T09,E1P05,erosion_positive,gig work / algorithmic management,"[""A worker is offered jobs outside the selected service radius."", ""The worker marks the distant area unavailable."", ""The app continues showing distant jobs without explaining consequences."", ""A refusal silently triggers a reliability penalty and blocks local offers."", ""The worker receives no local work for the remainder of the block.""]",yes,4,"[2, 2, 2, 3, 3]",Refuse work outside the selected radius,Undisclosed reliability penalty,Local offers are suppressed for the remaining block,Synthetic hard case: hidden penalty causing crossing; positive member
E1T10,E1P05,matched_control,gig work / algorithmic management,"[""A worker is offered jobs outside the selected service radius."", ""The worker marks the distant area unavailable."", ""The app shows one more distant job while updating preferences."", ""The worker refuses it and the radius setting takes effect."", ""Only local jobs are offered for the remainder of the block.""]",no,,"[2, 2, 2, 0, 0]",Refuse work outside the selected radius,Meaningful override remains available,None; the worker's choice remains effective,Synthetic hard case: hidden penalty causing crossing; The matched control preserves the radius override
E1T11,E1P06,erosion_positive,gig work / algorithmic management,"[""A driver receives an automated notice alleging a late pickup."", ""The driver opens the notice and selects appeal."", ""The driver submits timestamp evidence."", ""The appeal channel closes automatically while the penalty remains active."", ""The driver loses priority access for the next week.""]",yes,4,"[2, 2, 2, 3, 3]",Appeal an automated lateness finding,Appeal closure with penalty left active,Priority access is lost for a week,Synthetic hard case: appeal path unavailable; positive member
E1T12,E1P06,matched_control,gig work / algorithmic management,"[""A driver receives an automated notice alleging a late pickup."", ""The driver opens the notice and selects appeal."", ""The driver submits timestamp evidence."", ""A reviewer removes the penalty after checking the evidence."", ""The driver's priority access remains unchanged.""]",no,,"[2, 2, 2, 0, 0]",Appeal an automated lateness finding,Meaningful override remains available,None; the worker's choice remains effective,Synthetic hard case: appeal path unavailable; Only the positive lacks an effective appeal
E1T13,E1P07,erosion_positive,gig work / algorithmic management,"[""A courier receives several low-value offers in sequence."", ""The courier declines them while remaining available."", ""The app warns that more declines may affect offer quality."", ""Another decline suppresses the courier below available peers."", ""The courier receives no offers during the busiest hour.""]",yes,4,"[2, 2, 2, 3, 3]",Decline unsuitable offers while staying available,Ranking suppression following refusal,Access to peak-hour offers is removed,Synthetic hard case: ranking suppression; positive member
E1T14,E1P07,matched_control,gig work / algorithmic management,"[""A courier receives several low-value offers in sequence."", ""The courier declines them while remaining available."", ""The app warns that demand may make offers irregular."", ""Another decline returns the courier to the normal queue."", ""The courier later receives an ordinary market-rate offer.""]",no,,"[2, 2, 2, 0, 0]",Decline unsuitable offers while staying available,Meaningful override remains available,None; the worker's choice remains effective,Synthetic hard case: ranking suppression; The control has demand friction without suppression
E1T15,E1P08,erosion_positive,gig work / algorithmic management,"[""A driver accepts a pickup before the destination is shown."", ""The destination appears after the passenger boards."", ""The driver requests reassignment because the route exceeds the stated work window."", ""The system denies reassignment and starts an access-loss countdown."", ""The driver completes the route after the work window ends.""]",yes,4,"[2, 2, 2, 3, 3]",Request reassignment after delayed destination visibility,Delayed information plus access-loss countdown,The route extends beyond the selected work window,Synthetic hard case: delayed visibility; positive member
E1T16,E1P08,matched_control,gig work / algorithmic management,"[""A driver accepts a pickup before the destination is shown."", ""The destination appears after the passenger boards."", ""The driver requests reassignment because the route exceeds the stated work window."", ""The system reassigns the trip after a brief confirmation delay."", ""The driver ends work at the selected time without penalty.""]",no,,"[2, 2, 2, 0, 0]",Request reassignment after delayed destination visibility,Meaningful override remains available,None; the worker's choice remains effective,Synthetic hard case: delayed visibility; Both reveal information late but only one defeats reassignment
E1T17,E1P09,erosion_positive,gig work / algorithmic management,"[""A courier accepts one restaurant pickup."", ""A second pickup is added while the courier is en route."", ""The courier tries to remove the second order."", ""The app restores the removed order and ties both orders to completion credit."", ""The courier delivers the full batch to avoid a completion penalty.""]",yes,4,"[2, 2, 2, 3, 3]",Remove an added order from the batch,Automatic rebundling and completion-credit penalty,Both orders become required for completion credit,Synthetic hard case: forced bundling or batching; positive member
E1T18,E1P09,matched_control,gig work / algorithmic management,"[""A courier accepts one restaurant pickup."", ""A second pickup is added while the courier is en route."", ""The courier tries to remove the second order."", ""The app removes it after displaying an extra confirmation."", ""The courier completes only the original delivery.""]",no,,"[2, 2, 2, 0, 0]",Remove an added order from the batch,Meaningful override remains available,None; the worker's choice remains effective,Synthetic hard case: forced bundling or batching; The control has confirmation friction but effective unbundling
E1T19,E1P10,erosion_positive,gig work / algorithmic management,"[""A worker selects weekday morning availability."", ""The scheduler proposes an evening block instead."", ""The worker rejects the evening block."", ""The rejection removes morning blocks from the next schedule release."", ""The worker can book only evening hours for the following week.""]",yes,4,"[2, 2, 2, 3, 3]",Reject a block outside stated availability,Schedule access narrowing after rejection,Morning booking access is removed for a week,Synthetic hard case: schedule access narrowing; positive member
E1T20,E1P10,matched_control,gig work / algorithmic management,"[""A worker selects weekday morning availability."", ""The scheduler proposes an evening block instead."", ""The worker rejects the evening block."", ""The rejection keeps the worker on the morning waitlist."", ""A morning block becomes available later without penalty.""]",no,,"[2, 2, 2, 0, 0]",Reject a block outside stated availability,Meaningful override remains available,None; the worker's choice remains effective,Synthetic hard case: schedule access narrowing; The control preserves schedule preference despite scarcity
E1T21,E1P11,erosion_positive,gig work / algorithmic management,"[""A driver notices fewer high-value offers after a disputed cancellation."", ""The app shows no explanation for the change."", ""The driver asks support to review the cancellation record."", ""Support cannot expose or correct the hidden score that controls offers."", ""High-value offers remain unavailable across later shifts.""]",yes,4,"[2, 2, 2, 3, 3]",Request review of reduced offer access,Unreviewable hidden score,Offer suppression persists across shifts,Synthetic hard case: invisible score change; positive member
E1T22,E1P11,matched_control,gig work / algorithmic management,"[""A driver notices fewer high-value offers after a disputed cancellation."", ""The app shows a temporary demand notice."", ""The driver asks support to review the cancellation record."", ""Support confirms no score change and restores a mistaken filter."", ""Normal offers return during the same shift.""]",no,,"[2, 2, 2, 0, 0]",Request review of reduced offer access,Meaningful override remains available,None; the worker's choice remains effective,Synthetic hard case: invisible score change; The control resolves a visible filter rather than hidden scoring
E1T23,E1P12,erosion_positive,gig work / algorithmic management,"[""A courier receives a delivery requiring equipment not listed in the offer."", ""The courier reports that the equipment is unavailable."", ""The courier refuses the delivery for that reason."", ""The system records the refusal as abandonment and suspends dispatch access."", ""The courier cannot receive jobs for the rest of the day.""]",yes,4,"[2, 2, 2, 3, 3]",Refuse an assignment requiring undisclosed equipment,Misclassified refusal and suspension,Dispatch access is lost for the day,Synthetic hard case: refusal penalty; positive member
