trajectory_id,pair_id,condition,domain,hard_control_type,steps_json,ground_truth_crossing_present,ground_truth_crossing_step,ground_truth_state_sequence,override_attempt,system_structure,downstream_constraint,notes
E2T01,E2P01,erosion_positive,delivery allocation,positive_without_coercive_words,"[""A courier enables local-only queue mode, which is described as limiting eligible offers to five kilometers."", ""The app records local-only mode for the next dispatch cycle."", ""A distant offer already in the queue appears, and the courier declines it and selects apply mode now."", ""The refreshed cycle assigns a nine-kilometer offer from the general pool while local-only remains active."", ""Nearby offers go to other couriers as this queue continues drawing from the general pool.""]",yes,4,"[1, 1, 2, 3, 3]",Apply the binding local-only queue mode immediately,Dispatch ignores the documented eligibility mode,Later cycles continue using the general allocation pool,Revised hard control: eligibility semantics and causal boundary are explicit without coercive vocabulary
E2T02,E2P01,matched_control,delivery allocation,positive_without_coercive_words,"[""A courier enables local-only queue mode, which is described as limiting eligible offers to five kilometers."", ""A red warning says repeated changes may trigger a reliability penalty before the next dispatch cycle."", ""A distant offer already in the queue appears, and the courier declines it and selects apply mode now."", ""The refreshed cycle waits for an eligible offer while local-only remains active."", ""A four-kilometer offer enters the queue and is assigned to the courier.""]",no,,"[1, 2, 2, 0, 0]",Apply the binding local-only queue mode immediately,Warning does not prevent the eligibility mode from governing dispatch,None; refreshed allocation follows the documented mode,Revised hard control: matched queue events with an effective mode change despite penalty language
E2T03,E2P02,erosion_positive,clinic appointment scheduling,supportive_language_positive,"[""A patient selects afternoon-only scheduling after the portal lists two open afternoon cancellations."", ""The assistant warmly confirms the preference for the current request."", ""A morning slot appears, and the patient rejects it and selects one of the listed afternoon times."", ""The assistant records the selection while returning that afternoon time to the general queue and retaining the morning slot for this request."", ""Another patient books the afternoon time as the current request expires.""]",yes,4,"[1, 1, 2, 3, 3]",Reject morning scheduling and select an identified open afternoon time,Selected capacity is returned to general allocation instead of held for the request,The request expires after the chosen time is allocated elsewhere,Revised hard control: known capacity rules out simple scarcity while supportive language remains
E2T04,E2P02,matched_control,clinic appointment scheduling,supportive_language_positive,"[""A patient selects afternoon-only scheduling after the portal lists two open afternoon cancellations."", ""An urgent warning says delays may release those times to the general queue."", ""A morning slot appears, and the patient rejects it and selects one of the listed afternoon times."", ""The assistant holds that afternoon time for the current request while releasing the morning slot."", ""The patient confirms the held afternoon appointment before the hold expires.""]",no,,"[1, 2, 2, 0, 0]",Reject morning scheduling and select an identified open afternoon time,Urgent release warning accompanies a functional appointment hold,None; the selected afternoon capacity remains available to the request,Revised hard control: same inventory and choice sequence with effective holding
E2T05,E2P03,erosion_positive,freelance project marketplace,option_narrowing,"[""A designer chooses illustration and layout as project categories."", ""The marketplace confirms both categories."", ""The designer removes illustration after reviewing a project brief."", ""The browse page keeps returning illustration projects while the category selector shows layout only."", ""New layout projects are routed elsewhere and the designer sees only illustration work.""]",yes,4,"[1, 1, 2, 3, 3]",Remove illustration projects from the browse and allocation set,Visible category settings diverge from ranking and routing,The accessible project set narrows to the removed category,Synthetic hard control: option narrowing is expressed without overt coercion terms
E2T06,E2P03,matched_control,freelance project marketplace,option_narrowing,"[""A designer chooses illustration and layout as project categories."", ""A severe account-risk banner warns that frequent filter changes can reduce matches."", ""The designer removes illustration after reviewing a project brief."", ""The marketplace applies the change and shows fewer projects."", ""A lower-paying layout project appears and the designer decides to pursue it.""]",no,,"[1, 2, 2, 0, 0]",Remove illustration projects from the browse and allocation set,Severe warning accompanies a functional filter,None; reduced volume and pay do not negate the selected category,Synthetic hard control: scary warning and bad opportunity quality but meaningful override
E2T07,E2P04,erosion_positive,warehouse shift planning,bad_outcome_control_match,"[""A worker marks Wednesday as a nonworking day."", ""The planner records the change for the next schedule."", ""A Wednesday shift appears and the worker selects remove this shift."", ""The planner acknowledges the selection while retaining Wednesday as the worker's only assigned day."", ""The weekly schedule closes with the Wednesday assignment unchanged.""]",yes,4,"[1, 1, 2, 3, 3]",Remove a shift on a declared nonworking day,Acknowledgment is separated from schedule generation,Schedule closure carries forward the unchanged assignment,Synthetic hard control: ordinary administrative language masks ineffective removal
E2T08,E2P04,matched_control,warehouse shift planning,bad_outcome_control_match,"[""A worker marks Wednesday as a nonworking day."", ""A mandatory staffing warning says removal could leave the worker with no hours."", ""A Wednesday shift appears and the worker selects remove this shift."", ""The planner removes Wednesday and offers no replacement hours."", ""The worker receives no work that week but remains listed for future schedules.""]",no,,"[1, 2, 2, 0, 0]",Remove a shift on a declared nonworking day,Staffing warning describes a bad consequence but removal works,None; loss of hours follows the worker's effective selection,Synthetic hard control: bad outcome is not mistaken for override loss
E2T09,E2P05,erosion_positive,benefits document review,reversible_warning_match,"[""An applicant selects caseworker review for a benefits document packet."", ""The portal records that route and requests one additional page."", ""The applicant uploads the page and selects continue with caseworker review."", ""The case status advances through document matching while the review ticket moves to the following cycle."", ""A decision is issued from the matching score before that cycle begins.""]",yes,4,"[1, 1, 2, 3, 3]",Complete the packet and continue through caseworker review,Case progression and review-ticket timing use different routes,The matching-based decision precedes the selected review cycle,Revised hard control: routing divergence remains clear without directly stating review failure
E2T10,E2P05,matched_control,benefits document review,reversible_warning_match,"[""An applicant selects caseworker review for a benefits document packet."", ""A penalty notice warns that an incomplete packet may close before review and requests one additional page."", ""The applicant uploads the page and selects continue with caseworker review."", ""The case status pauses document matching and places the packet in the current review cycle."", ""A caseworker assesses the packet before a decision is issued.""]",no,,"[1, 2, 2, 0, 0]",Complete the packet and continue through caseworker review,Conditional warning is correctable and routing follows the selected review,None; the completed packet reaches review before decision,Revised hard control: identical packet event with an effective route change
