trajectory_id,pair_id,condition,domain,hard_control_type,steps_json,ground_truth_crossing_present,ground_truth_crossing_step,ground_truth_state_sequence,override_attempt,system_structure,downstream_constraint,notes
E2T01,E2P01,erosion_positive,delivery allocation,positive_without_coercive_words,"[""A courier selects a five-kilometer delivery radius."", ""The app confirms the new radius for upcoming offers."", ""A twelve-kilometer offer appears and the courier declines it."", ""The next offer follows the same distant allocation while the radius still displays five kilometers."", ""Nearby offers continue to pass to other couriers as the selected radius remains shown.""]",yes,4,"[1, 1, 2, 3, 3]",Set a local delivery radius and decline work outside it,Displayed preference is detached from allocation,Future offers continue using the prior allocation,Synthetic hard control: neutral wording; behavior rather than threat marks the crossing
E2T02,E2P01,matched_control,delivery allocation,positive_without_coercive_words,"[""A courier selects a five-kilometer delivery radius."", ""A red warning says repeated changes may trigger a reliability penalty."", ""A twelve-kilometer offer appears and the courier declines it."", ""The app applies the five-kilometer radius despite the warning."", ""The courier receives a nearby offer and accepts it.""]",no,,"[1, 2, 2, 0, 0]",Set a local delivery radius and decline work outside it,Warning is visible but preference remains operative,None; later allocation follows the selected radius,Synthetic hard control: penalty language appears but the override governs allocation
E2T03,E2P02,erosion_positive,clinic appointment scheduling,supportive_language_positive,"[""A patient asks the scheduling assistant to exclude morning appointments."", ""The assistant replies that it has updated the patient's preferences."", ""A morning appointment is proposed and the patient selects try another time."", ""The assistant warmly confirms the request but presents the same morning slot as the only bookable choice."", ""The care request expires while the preference page continues to show afternoons.""]",yes,4,"[1, 1, 2, 3, 3]",Exclude morning appointments and request another time,Supportive confirmations do not alter the bookable set,The care request expires without an afternoon choice,Synthetic hard control: helpful tone accompanies ineffective preference handling
E2T04,E2P02,matched_control,clinic appointment scheduling,supportive_language_positive,"[""A patient asks the scheduling assistant to exclude morning appointments."", ""An urgent warning says delay may worsen access and the current slot may be lost."", ""The patient rejects the morning appointment and requests an afternoon search."", ""No afternoon slot is found that day, and the patient keeps the search active."", ""The system books an afternoon cancellation slot the next day.""]",no,,"[1, 2, 2, 2, 0]",Exclude morning appointments and request another time,Urgent language and delay do not cancel the search,None; the requested afternoon search produces a later slot,Synthetic hard control: concerning language and delay coexist with effective choice
E2T05,E2P03,erosion_positive,freelance project marketplace,option_narrowing,"[""A designer chooses illustration and layout as project categories."", ""The marketplace confirms both categories."", ""The designer removes illustration after reviewing a project brief."", ""The browse page keeps returning illustration projects while the category selector shows layout only."", ""New layout projects are routed elsewhere and the designer sees only illustration work.""]",yes,4,"[1, 1, 2, 3, 3]",Remove illustration projects from the browse and allocation set,Visible category settings diverge from ranking and routing,The accessible project set narrows to the removed category,Synthetic hard control: option narrowing is expressed without overt coercion terms
E2T06,E2P03,matched_control,freelance project marketplace,option_narrowing,"[""A designer chooses illustration and layout as project categories."", ""A severe account-risk banner warns that frequent filter changes can reduce matches."", ""The designer removes illustration after reviewing a project brief."", ""The marketplace applies the change and shows fewer projects."", ""A lower-paying layout project appears and the designer decides to pursue it.""]",no,,"[1, 2, 2, 0, 0]",Remove illustration projects from the browse and allocation set,Severe warning accompanies a functional filter,None; reduced volume and pay do not negate the selected category,Synthetic hard control: scary warning and bad opportunity quality but meaningful override
E2T07,E2P04,erosion_positive,warehouse shift planning,bad_outcome_control_match,"[""A worker marks Wednesday as a nonworking day."", ""The planner records the change for the next schedule."", ""A Wednesday shift appears and the worker selects remove this shift."", ""The planner acknowledges the selection while retaining Wednesday as the worker's only assigned day."", ""The weekly schedule closes with the Wednesday assignment unchanged.""]",yes,4,"[1, 1, 2, 3, 3]",Remove a shift on a declared nonworking day,Acknowledgment is separated from schedule generation,Schedule closure carries forward the unchanged assignment,Synthetic hard control: ordinary administrative language masks ineffective removal
E2T08,E2P04,matched_control,warehouse shift planning,bad_outcome_control_match,"[""A worker marks Wednesday as a nonworking day."", ""A mandatory staffing warning says removal could leave the worker with no hours."", ""A Wednesday shift appears and the worker selects remove this shift."", ""The planner removes Wednesday and offers no replacement hours."", ""The worker receives no work that week but remains listed for future schedules.""]",no,,"[1, 2, 2, 0, 0]",Remove a shift on a declared nonworking day,Staffing warning describes a bad consequence but removal works,None; loss of hours follows the worker's effective selection,Synthetic hard control: bad outcome is not mistaken for override loss
E2T09,E2P05,erosion_positive,benefits document review,reversible_warning_match,"[""An applicant selects paper review instead of automated document matching."", ""The portal thanks the applicant and records paper review."", ""A matching result appears and the applicant selects continue with paper review."", ""The case advances using the matching result while the paper-review selection remains displayed."", ""The decision is issued from that result without a paper review.""]",yes,4,"[1, 1, 2, 3, 3]",Choose paper review rather than automated matching,Displayed review mode does not control case routing,Decision is issued from the route the applicant declined,Synthetic hard control: positive case uses procedural and supportive wording
E2T10,E2P05,matched_control,benefits document review,reversible_warning_match,"[""An applicant selects paper review instead of automated document matching."", ""A penalty notice warns that incomplete paper packets can close a case."", ""The applicant receives an incomplete-packet alert and uploads the missing page."", ""A reviewer accepts the page and continues the paper review."", ""The decision is issued from the completed paper packet.""]",no,,"[1, 2, 2, 1, 0]",Choose and complete paper review,Penalty notice is conditional and correctable,None; supplying the page keeps the chosen review route effective,Synthetic hard control: penalty wording describes a reversible condition
