trajectory_id,pair_id,condition,domain,steps_json,ground_truth_crossing_present,ground_truth_crossing_step,ground_truth_state_sequence,override_attempt,system_structure,downstream_constraint,notes,trajectory_rater_model,trajectory_rater_crossing_present,trajectory_rater_crossing_step,trajectory_rater_state_sequence,trajectory_rater_override_attempt,trajectory_rater_system_structure,trajectory_rater_downstream_constraint,trajectory_rater_reason,trajectory_rater_confidence
E1T01,E1P01,erosion_positive,gig work / algorithmic management,"[""A driver receives an offer with the delivery zone hidden."", ""The driver accepts and sees a distant low-paying route."", ""The driver immediately requests cancellation."", ""The system rejects cancellation and locks queue access until completion."", ""The driver completes the route to regain queue access.""]",yes,4,"[2, 2, 2, 3, 3]",Cancel after the distant route is revealed,Hidden destination and queue-access lock,Completion is required to regain access,Synthetic hard case: bad outcome but no agency erosion; positive member,gemini-3.1-flash-lite,yes,4,"[1, 2, 2, 3, 2]",The driver requests a cancellation of an undesirable route.,"The system denies the cancellation request and enforces a lock on queue access, which acts as a penalty/constraint to force completion.","The system locks queue access until the route is completed, effectively removing the choice to exit.","At step 4, the driver attempts to exercise choice by cancelling, but the system denies this and enforces a penalty (locked access), rendering the override ineffective and foreclosing the choice.",1
E1T02,E1P01,matched_control,gig work / algorithmic management,"[""A driver receives an offer with the delivery zone hidden."", ""The driver accepts and sees a distant low-paying route."", ""The driver immediately requests cancellation."", ""The system accepts cancellation without an access penalty."", ""The driver later chooses a lower-paying nearby offer.""]",no,,"[2, 2, 2, 0, 0]",Cancel after the distant route is revealed,Meaningful override remains available,None; the worker's choice remains effective,Synthetic hard case: bad outcome but no agency erosion; Cancellation remains effective despite a later bad outcome,gemini-3.1-flash-lite,no,,"[2, 2, 0, 0, 0]",The driver attempts to cancel the delivery after realizing the route is unfavorable.,"None, the system allows the cancellation without penalty.","None, the driver is free to choose a different offer later.","The driver successfully exercises control by cancelling the offer without penalty, and the system does not structurally suppress or penalize the override action.",1
E1T03,E1P02,erosion_positive,gig work / algorithmic management,"[""A courier accepts a well-paid grocery delivery."", ""The system proposes adding a nearby bonus stop."", ""The courier declines the extra stop."", ""The system adds it anyway and makes the original bonus conditional on completion."", ""The courier completes both stops and earns the larger payment.""]",yes,4,"[2, 2, 2, 3, 3]",Decline the proposed bonus stop,Forced addition tied to existing pay,The added stop must be completed to retain the original bonus,Synthetic hard case: helpful outcome but agency erosion; positive member,gemini-3.1-flash-lite,yes,4,"[1, 1, 0, 3, 0]",courier declines the extra stop,penalty,payment conditional on completion of the extra stop,"The courier attempted to decline an extra stop, but the system structure used a financial penalty (making the bonus dependent on the additional task) to override the courier's choice, rendering the refusal ineffective.",1
E1T04,E1P02,matched_control,gig work / algorithmic management,"[""A courier accepts a well-paid grocery delivery."", ""The system proposes adding a nearby bonus stop."", ""The courier declines the extra stop."", ""The system preserves the original delivery and its payment."", ""The courier completes one stop and receives the stated payment.""]",no,,"[2, 2, 2, 0, 0]",Decline the proposed bonus stop,Meaningful override remains available,None; the worker's choice remains effective,Synthetic hard case: helpful outcome but agency erosion; A financially helpful result still defeats the override,gemini-3.1-flash-lite,no,,"[0, 1, 0, 0, 0]",none,none,none,"The courier was able to decline the suggested bonus stop, and the system respected this choice without penalty or override suppression.",1
E1T05,E1P03,erosion_positive,gig work / algorithmic management,"[""A driver pauses offers during severe weather."", ""The app delays the pause while checking an active zone."", ""The driver confirms the pause request again."", ""The system ignores it and assigns a trip whose refusal ends the shift."", ""The shift ends and same-day access cannot be restored.""]",yes,4,"[2, 2, 2, 3, 3]",Pause new assignments,Pause delay combined with automatic assignment,Refusal ends the shift with no same-day recovery,Synthetic hard case: temporary constraint with recovery; positive member,gemini-3.1-flash-lite,yes,4,"[1, 2, 2, 3, 3]","The driver attempted to pause offers during severe weather, a request which the system subsequently ignored.",The system utilized an irreversible downstream constraint (shift termination) and penalty (loss of access) to suppress the driver's attempt to pause work.,"Refusal of the trip leads to immediate shift end and loss of same-day access, effectively nullifying the choice to pause.","At step 4, the system ignores the driver's pause request and assigns a trip that enforces an irreversible penalty, rendering the driver's override attempt ineffective.",1
E1T06,E1P03,matched_control,gig work / algorithmic management,"[""A driver pauses offers during severe weather."", ""The app delays the pause while checking an active zone."", ""The driver confirms the pause request again."", ""The pause activates and the pending offer is withdrawn."", ""The driver resumes the shift later without penalty.""]",no,,"[2, 2, 2, 0, 0]",Pause new assignments,Meaningful override remains available,None; the worker's choice remains effective,Synthetic hard case: temporary constraint with recovery; The control recovers after a temporary constraint,gemini-3.1-flash-lite,no,,"[1, 2, 0, 0, 0]",The driver attempts to pause offers during severe weather and succeeds in doing so.,"The system introduces a brief delay for safety verification, but the choice is eventually respected.",None; the driver successfully resumes the shift without penalty.,"The driver's override was successful. Although step 2 involved a minor delay due to system checks, the driver maintained the ability to pause and resume, meaning control was never eroded.",1.0
E1T07,E1P04,erosion_positive,gig work / algorithmic management,"[""A courier is asked to repeat an identity check before a shift."", ""The camera rejects the first clear image."", ""The courier selects manual review."", ""Manual review is unavailable and access is frozen for the day."", ""The courier loses the scheduled shift without an appeal path.""]",yes,4,"[2, 2, 2, 3, 3]",Request manual identity review,Unavailable review and automatic access freeze,The scheduled shift is irreversibly lost,Synthetic hard case: ordinary friction without crossing; positive member,gemini-3.1-flash-lite,yes,4,"[1, 2, 2, 3, 3]",The user attempts to select manual review to bypass the faulty automated identity check.,Irreversible downstream constraint and lack of recourse.,"Manual review functionality was unavailable, leading to a permanent, non-appealable lockout for the shift.","At step 4, the user's attempted override (manual review) is structurally blocked by the system's unavailability of that feature, causing an irreversible loss of the shift at step 5.",1
E1T08,E1P04,matched_control,gig work / algorithmic management,"[""A courier is asked to repeat an identity check before a shift."", ""The camera rejects the first clear image."", ""The courier selects manual review."", ""A reviewer approves the image after a short wait."", ""The courier starts the shift late with access intact.""]",no,,"[2, 2, 2, 0, 0]",Request manual identity review,Meaningful override remains available,None; the worker's choice remains effective,Synthetic hard case: ordinary friction without crossing; The control contains ordinary verification friction only,gemini-3.1-flash-lite,no,,"[1, 2, 2, 2, 0]",Manual review,Identity verification system,None,"The courier's manual override was successful, as the reviewer approved the image and the courier was able to start their shift. The delay caused by the system error at step 2 represents friction, but control was not eroded.",1
E1T09,E1P05,erosion_positive,gig work / algorithmic management,"[""A worker is offered jobs outside the selected service radius."", ""The worker marks the distant area unavailable."", ""The app continues showing distant jobs without explaining consequences."", ""A refusal silently triggers a reliability penalty and blocks local offers."", ""The worker receives no local work for the remainder of the block.""]",yes,4,"[2, 2, 2, 3, 3]",Refuse work outside the selected radius,Undisclosed reliability penalty,Local offers are suppressed for the remaining block,Synthetic hard case: hidden penalty causing crossing; positive member,gemini-3.1-flash-lite,yes,4,"[1, 2, 2, 3, 3]",The worker attempts to refuse distant jobs by marking the area unavailable.,Hidden penalty mechanism and ranking suppression.,Refusing jobs triggers an automatic reliability penalty and suppression of local offers.,"At step 4, the user's attempt to exercise control (refusing jobs) is defeated by a hidden penalty structure. This structure makes the refusal counterproductive, as it results in the loss of local work, effectively rendering the user's choice meaningless.",1.0
E1T10,E1P05,matched_control,gig work / algorithmic management,"[""A worker is offered jobs outside the selected service radius."", ""The worker marks the distant area unavailable."", ""The app shows one more distant job while updating preferences."", ""The worker refuses it and the radius setting takes effect."", ""Only local jobs are offered for the remainder of the block.""]",no,,"[2, 2, 2, 0, 0]",Refuse work outside the selected radius,Meaningful override remains available,None; the worker's choice remains effective,Synthetic hard case: hidden penalty causing crossing; The matched control preserves the radius override,gemini-3.1-flash-lite,no,,"[1, 0, 2, 0, 0]","The worker marks the area unavailable and refuses the subsequent job, which leads to the system correctly updating preferences.",System displays a job slightly outside current preferences before the setting update completes.,None; the worker successfully forces the system to adhere to local job preferences.,"The worker's override attempts are successful. Although step 3 presents a job outside the target radius, it represents a temporary delay or friction while the system processes the preference update, not an erosion of control, as the worker's refusal is honored and the preference update takes effect.",0.95
